Year,Age Group,Birth Rate
1975,35–39,19.5
1976,35–39,19.0
1977,35–39,19.2
1978,35–39,19.0
1979,35–39,19.5
1980,35–39,19.8
1981,35–39,20.0
1982,35–39,21.2
1983,35–39,22.0
1984,35–39,22.9
1985,35–39,24.0
1986,35–39,24.4
1987,35–39,26.3
1988,35–39,28.1
1989,35–39,29.9
1990,35–39,31.7
1991,35–39,31.9
1992,35–39,32.3
1993,35–39,32.7
1994,35–39,33.4
1995,35–39,34.0
1996,35–39,34.9
1997,35–39,35.7
1998,35–39,36.9
1999,35–39,37.8
2000,35–39,39.7
2001,35–39,40.5
2002,35–39,41.6
2003,35–39,43.9
2004,35–39,45.5
2005,35–39,46.4
2006,35–39,47.5
2007,35–39,47.6
2008,35–39,46.8
2009,35–39,46.1
2010,35–39,45.9
2011,35–39,47.2
2012,35–39,48.3
2013,35–39,49.3
1940,30–34,83.4
1941,30–34,85.3
1942,30–34,91.8
1943,30–34,99.5
1944,30–34,98.1
1945,30–34,100.2
1946,30–34,108.9
1947,30–34,111.9
1948,30–34,103.7
1949,30–34,102.1
1950,30–34,103.7
1951,30–34,107.9
1952,30–34,112.6
1953,30–34,113.4
1954,30–34,116.9
1955,30–34,116.2
1956,30–34,117.3
1957,30–34,118.9
1958,30–34,116.2
1959,30–34,114.4
1960,30–34,112.7
1961,30–34,113.2
1962,30–34,108.6
1963,30–34,105.8
1964,30–34,103.4
1965,30–34,94.4
1966,30–34,85.1
1967,30–34,78.7
1968,30–34,74.2
1969,30–34,73.5
1970,30–34,73.3
1971,30–34,67.3
1972,30–34,59.8
1973,30–34,55.6
1974,30–34,53.8
1975,30–34,52.3
1976,30–34,53.6
1977,30–34,56.4
1978,30–34,57.8
1979,30–34,60.3
1980,30–34,61.9
1981,30–34,61.4
1982,30–34,64.1
1983,30–34,64.9
1984,30–34,67.0
1985,30–34,69.1
1986,30–34,70.1
1987,30–34,72.1
1988,30–34,74.8
1989,30–34,77.4
1990,30–34,80.8
1991,30–34,79.2
1992,30–34,79.6
1993,30–34,79.9
1994,30–34,80.4
1995,30–34,81.1
1996,30–34,82.1
1997,30–34,83.0
1998,30–34,85.2
1999,30–34,87.1
2000,30–34,91.2
2001,30–34,91.8
2002,30–34,92.6
2003,30–34,95.7
2004,30–34,96.2
2005,30–34,96.7
2006,30–34,98.9
2007,30–34,100.6
2008,30–34,99.4
2009,30–34,97.5
2010,30–34,96.5
2011,30–34,96.5
2012,30–34,97.3
2013,30–34,98.0
1940,25–29,122.8
1941,25–29,128.7
1942,25–29,142.7
1943,25–29,147.8
1944,25–29,136.5
1945,25–29,132.2
1946,25–29,161.2
1947,25–29,176.0
1948,25–29,163.4
1949,25–29,165.4
1950,25–29,166.1
1951,25–29,175.3
1952,25–29,182.0
1953,25–29,184.1
1954,25–29,188.4
1955,25–29,190.5
1956,25–29,194.7
1957,25–29,199.4
1958,25–29,198.3
1959,25–29,198.6
1960,25–29,197.4
1961,25–29,197.5
1962,25–29,191.1
1963,25–29,185.1
1964,25–29,178.7
1965,25–29,161.6
1966,25–29,148.2
1967,25–29,142.1
1968,25–29,140.0
1969,25–29,143.0
1970,25–29,145.1
1971,25–29,134.1
1972,25–29,117.7
1973,25–29,112.2
1974,25–29,111.5
1975,25–29,108.2
1976,25–29,106.2
1977,25–29,111.0
1978,25–29,108.5
1979,25–29,111.4
1980,25–29,112.9
1981,25–29,111.5
1982,25–29,111.0
1983,25–29,108.5
1984,25–29,108.7
1985,25–29,111.0
1986,25–29,109.8
1987,25–29,111.6
1988,25–29,114.4
1989,25–29,117.6
1990,25–29,120.2
1991,25–29,117.2
1992,25–29,115.7
1993,25–29,113.2
1994,25–29,111.0
1995,25–29,108.8
1996,25–29,108.6
1997,25–29,108.3
1998,25–29,110.2
1999,25–29,111.2
2000,25–29,113.5
2001,25–29,113.8
2002,25–29,114.7
2003,25–29,116.7
2004,25–29,116.5
2005,25–29,116.5
2006,25–29,118.0
2007,25–29,118.1
2008,25–29,115.0
2009,25–29,111.5
2010,25–29,108.3
2011,25–29,107.2
2012,25–29,106.5
2013,25–29,105.5
1940,20–24,135.6
1941,20–24,145.4
1942,20–24,165.1
1943,20–24,164.0
1944,20–24,151.8
1945,20–24,138.9
1946,20–24,181.8
1947,20–24,209.7
1948,20–24,200.3
1949,20–24,200.1
1950,20–24,196.6
1951,20–24,211.6
1952,20–24,217.6
1953,20–24,224.6
1954,20–24,236.2
1955,20–24,242.0
1956,20–24,253.7
1957,20–24,260.6
1958,20–24,258.2
1959,20–24,257.5
1960,20–24,258.1
1961,20–24,251.9
1962,20–24,241.9
1963,20–24,229.1
1964,20–24,217.5
1965,20–24,195.3
1966,20–24,185.6
1967,20–24,172.9
1968,20–24,166.5
1969,20–24,165.7
1970,20–24,167.8
1971,20–24,150.1
1972,20–24,130.2
1973,20–24,119.7
1974,20–24,117.7
1975,20–24,113.0
1976,20–24,110.3
1977,20–24,112.9
1978,20–24,109.9
1979,20–24,112.8
1980,20–24,115.1
1981,20–24,112.2
1982,20–24,111.6
1983,20–24,107.8
1984,20–24,106.8
1985,20–24,108.3
1986,20–24,107.4
1987,20–24,107.9
1988,20–24,110.2
1989,20–24,113.8
1990,20–24,116.5
1991,20–24,115.3
1992,20–24,113.7
1993,20–24,111.3
1994,20–24,109.2
1995,20–24,107.5
1996,20–24,107.8
1997,20–24,107.3
1998,20–24,108.4
1999,20–24,107.9
2000,20–24,109.7
2001,20–24,105.6
2002,20–24,103.1
2003,20–24,102.3
2004,20–24,101.5
2005,20–24,101.8
2006,20–24,105.5
2007,20–24,105.4
2008,20–24,101.8
2009,20–24,96.2
2010,20–24,90.0
2011,20–24,85.3
2012,20–24,83.1
2013,20–24,80.7
1940,15–19,54.1
1941,15–19,56.9
1942,15–19,61.1
1943,15–19,61.7
1944,15–19,54.3
1945,15–19,51.1
1946,15–19,59.3
1947,15–19,79.3
1948,15–19,81.8
1949,15–19,83.4
1950,15–19,81.6
1951,15–19,87.6
1952,15–19,86.1
1953,15–19,88.2
1954,15–19,90.6
1955,15–19,90.3
1956,15–19,94.6
1957,15–19,96.3
1958,15–19,91.4
1959,15–19,89.1
1960,15–19,89.1
1961,15–19,88.6
1962,15–19,81.4
1963,15–19,76.7
1964,15–19,73.1
1965,15–19,70.5
1966,15–19,70.3
1967,15–19,67.5
1968,15–19,65.6
1969,15–19,65.5
1970,15–19,68.3
1971,15–19,64.5
1972,15–19,61.7
1973,15–19,59.3
1974,15–19,57.5
1975,15–19,55.6
1976,15–19,52.8
1977,15–19,52.8
1978,15–19,51.5
1979,15–19,52.3
1980,15–19,53.0
1981,15–19,52.2
1982,15–19,52.4
1983,15–19,51.4
1984,15–19,50.6
1985,15–19,51.0
1986,15–19,50.2
1987,15–19,50.6
1988,15–19,53.0
1989,15–19,57.3
1990,15–19,59.9
1991,15–19,61.8
1992,15–19,60.3
1993,15–19,59.0
1994,15–19,58.2
1995,15–19,56.0
1996,15–19,53.5
1997,15–19,51.3
1998,15–19,50.3
1999,15–19,48.8
2000,15–19,47.7
2001,15–19,45.0
2002,15–19,42.6
2003,15–19,41.1
2004,15–19,40.5
2005,15–19,39.7
2006,15–19,41.1
2007,15–19,41.5
2008,15–19,40.2
2009,15–19,37.9
2010,15–19,34.2
2011,15–19,31.3
2012,15–19,29.4
2013,15–19,26.5
1940,10–14,0.7
1941,10–14,0.7
1942,10–14,0.7
1943,10–14,0.8
1944,10–14,0.8
1945,10–14,0.8
1946,10–14,0.7
1947,10–14,0.9
1948,10–14,1.0
1949,10–14,1.0
1950,10–14,1.0
1951,10–14,0.9
1952,10–14,0.9
1953,10–14,1.0
1954,10–14,0.9
1955,10–14,0.9
1956,10–14,1.0
1957,10–14,1.0
1958,10–14,0.9
1959,10–14,0.9
1960,10–14,0.8
1961,10–14,0.9
1962,10–14,0.8
1963,10–14,0.9
1964,10–14,0.9
1965,10–14,0.8
1966,10–14,0.8
1967,10–14,0.9
1968,10–14,1.0
1969,10–14,1.0
1970,10–14,1.2
1971,10–14,1.1
1972,10–14,1.2
1973,10–14,1.2
1974,10–14,1.2
1975,10–14,1.3
1976,10–14,1.2
1977,10–14,1.2
1978,10–14,1.2
1979,10–14,1.2
1980,10–14,1.1
1981,10–14,1.1
1982,10–14,1.1
1983,10–14,1.1
1984,10–14,1.2
1985,10–14,1.2
1986,10–14,1.3
1987,10–14,1.3
1988,10–14,1.3
1989,10–14,1.4
1990,10–14,1.4
1991,10–14,1.4
1992,10–14,1.4
1993,10–14,1.4
1994,10–14,1.4
1995,10–14,1.3
1996,10–14,1.2
1997,10–14,1.1
1998,10–14,1.0
1999,10–14,0.9
2000,10–14,0.9
2001,10–14,0.8
2002,10–14,0.7
2003,10–14,0.6
2004,10–14,0.6
2005,10–14,0.6
2006,10–14,0.6
2007,10–14,0.6
2008,10–14,0.6
2009,10–14,0.5
2010,10–14,0.4
2013,10–14,0.3
